Name,Date,Location,Type,Region,Weather
Fall Out Boy,3/1/2024,Climate Pledge Arena,Readings & Lectures,Queen Anne / Seattle Center,"Rain. Cloudy. High near 45, with temperatures falling to around 43 in the afternoon. South wind around 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Global Rhythms: Justin Adams and Mauro Durante,3/1/2024,Town Hall Seattle,Music,Downtown,"Rain and snow. Cloudy, with a high near 44. South wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Sloane Crosley with Ben Gibbard,3/1/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Rain and snow. Cloudy, with a high near 44. South wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Supernova,3/1/2024,The Triple Door,Music,Downtown,"Rain. Cloudy. High near 46, with temperatures falling to around 44 in the afternoon. South wind around 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Tacoma Stars vs. Harrisburg Heat,3/1/2024,accesso ShoWare Center,Sports,South,Error fetching weather
Tommy Emmanuel,3/1/2024,The Moore Theatre,Music,Downtown,Error fetching weather
Facades,Now through 3/2/2024,Harris Harvey Gallery,Visual Arts & Galleries,Downtown,"Rain. Cloudy. High near 46, with temperatures falling to around 44 in the afternoon. South wind around 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Black Tiger Sex Machine,3/1/2024 through 3/2/2024,WaMu Theater,Music,Pioneer Square,"Rain. Cloudy, with a high near 45. South wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Conrad Tao’s Playlist,3/1/2024 through 3/2/2024,Benaroya Hall,Music,Downtown,"Rain. Cloudy. High near 46, with temperatures falling to around 44 in the afternoon. South wind around 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
SuperFolk Festival,3/1/2024 through 3/2/2024,Washington State History Museum,Museums,South,"Rain and snow. Cloudy, with a high near 44. South southeast wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Brian Culbertson,3/2/2024,The Moore Theatre,Music,Downtown,Error fetching weather
Celebrating 50 Years of Dilla,3/2/2024,The Royal Room,Music,South Seattle,"Rain. Cloudy, with a high near 44. South wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Clinton Fearon and The Boogie Brown Band,3/2/2024,Nectar Lounge,Music,Fremont / Ballard,"Rain and snow. Cloudy, with a high near 44. South wind around 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Crypta,3/2/2024,El Corazon,Music,Downtown,"Rain and snow. Cloudy, with a high near 43. South wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Making Sense of Murmurations with Dr. Natalie Hofmeister,3/2/2024,National Nordic Museum,Museums,Fremont / Ballard,"Rain. Cloudy, with a high near 44. South wind 12 to 15 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Millhous,3/2/2024,Slim's Last Chance,Music,South Seattle,"Rain. Cloudy, with a high near 45. South wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Not Fade Away – A Tribute to Buddy Holly,3/2/2024,The Triple Door,Music,Downtown,"Rain. Cloudy. High near 46, with temperatures falling to around 44 in the afternoon. South wind around 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Seattle Kraken vs. Edmonton Oilers,3/2/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain. Cloudy. High near 45, with temperatures falling to around 43 in the afternoon. South wind around 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Seattle Sounders FC vs. Austin FC,3/2/2024,Lumen Field,Sports,Pioneer Square,"Rain and snow. Cloudy, with a high near 44. South wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Emerald City Comic Con,2/29/2024 through 3/3/2024,Seattle Convention Center,Festivals & Special Events,Downtown,"Rain and snow. Cloudy, with a high near 44. South wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Freakout Weekender,3/2/2024 through 3/3/2024,The Crocodile,Music,Downtown,"Rain. Cloudy. High near 45, with temperatures falling to around 43 in the afternoon. South wind around 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Alexperience,3/3/2024,The Moore Theatre,Theatre,Downtown,Error fetching weather
Barbara McQuade with Jenny Durkan,3/3/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Rain and snow. Cloudy, with a high near 44. South wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Briscoe,3/3/2024,Tractor Tavern,Music,Fremont / Ballard,"Rain. Cloudy, with a high near 44. South wind around 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
David Nihill,3/3/2024,The Neptune Theatre,Theatre,University District,Error fetching weather
Jim Knapp Orchestra,3/3/2024,The Royal Room,Music,South Seattle,"Rain. Cloudy, with a high near 44. South wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
